,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Channel,Views,Likes,Comments,Licensed,official_video,Stream
20147,YOASOBI,怪物,THE BOOK 2,album,0.598,0.847,1,-2.54,0.205,0.0655,9.92E-05,0.307,0.728,169.959,205480,Ayase / YOASOBI,258798702,1933735,41404,FALSE,FALSE,207087539
1028,Eagles,Hotel California - 2013 Remaster,Hotel California (2013 Remaster),album,0.579,0.508,2,-9.484,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,The Eagles - Topic,258787217,1745720,1602,TRUE,TRUE,1225904497
3345,Ciara,"One, Two Step (feat. Missy Elliott)",Goodies,album,0.944,0.511,5,-10.96,0.161,0.042,0.00107,0.0379,0.842,113.046,203787,CiaraVEVO,258732460,1311147,26713,TRUE,TRUE,413777209
2517,Marilyn Manson,Sweet Dreams (Are Made Of This),Smells Like Children,album,0.222,0.664,0,-5.242,0.0379,0.0039,0.65,0.239,0.101,186.044,293293,MarilynMansonVEVO,258436771,2421404,94358,TRUE,TRUE,293090224
13336,Pedro Capó,Calma,MUNAY,album,0.74,0.592,2,-6.388,0.0539,0.218,0,0.0726,0.549,126.914,180066,capoVEVO,258271615,1889066,41853,TRUE,TRUE,126936349
8807,Simple Minds,Don't You (Forget About Me),Once Upon A Time (Super Deluxe),album,0.66,0.816,2,-6.61,0.0299,0.168,0.0181,0.0608,0.678,111.346,263040,SimpleMindsVEVO,258090694,1396487,54123,TRUE,TRUE,
8811,Simple Minds,Don't You Forget About Me,Don't You Forget About Me,single,0.654,0.71,2,-7.07,0.0243,0.00791,0.0217,0.18,0.471,111.011,259582,SimpleMindsVEVO,258090694,1396487,54123,TRUE,TRUE,10667944
15135,Super Simple Songs,Sweet Dreams,Twinkle Twinkle Little Star & More Kids Songs,album,0.288,0.0938,11,-15.741,0.0365,0.742,0.0557,0.127,0.119,119.256,174505,Super Simple Songs - Kids Songs,258075590,327277,0,TRUE,TRUE,23975769
14652,Calibre 50,Simplemente Gracias,Simplemente Gracias,album,0.755,0.557,3,-5.982,0.0302,0.691,0,0.104,0.743,130.03,203200,CalibreCincuentaVEVO,258034734,1036399,14149,TRUE,TRUE,195991674
15546,Aleman,Tantas Veces,Eclipse,album,0.789,0.719,7,-6.099,0.373,0.463,0,0.308,0.663,81.003,273485,Alemán,257879588,1342952,30090,FALSE,TRUE,91779317
